Titel,Preis (€),Vergleichspreis (€),Grad
Braun Series 9 (Pro) Scherkopf: -30 % bei Bipa und 10€ Cashback (Lokal),31.99,41.99,109
1200 Yums bei TheFork,0,0,127
"Samsung S36GD Essential Curved Monitor 24 Zoll, Full HD, 4 ms Reaktionszeit, 100 Hz, Eco Saving Plus, Flicker Free, Schwarz, S24D364GAU",69.58,89.43,119
-25% auf die Crisp n Cream von NEOH,0,0,114
"DE LONGHI Pinguino PAC EX105 Klimagerät (Max. Raumgröße: 100 m³, EEK: A+++, 10000 BTU/h, Weiß)",699,883,150
MORE Protein Whey Trinkschokolade mit Zero Sugar 600 g,21.78,29.99,166
"""Flat Heroes"" (Nintendo Switch) - 1 Game / kein Euro -",0.99,9.99,131
"Picard & Wielpütz Solingen Besteck-Set »Luca«, (Set, 24 tlg.), hochglanzpoliert",39.99,49.99,109
"Akku Rasentrimmer STIGA GT 300e inkl. 2 Akkus 20V, 2 Ah und Ladestation",100,169,134
(Preisjäger Gewinnspiel) User des Monats - gewinne 75 € für Deals & Kommentare,0,0,1031
Philips Hue White & Color Ambiance Surimu Deckenleuchte 60W weiß 120x30cm,169,260.41,141
"""The Box Code: Retro Logic Game"" (Android) gratis im Google PlayStore - ohne Werbung / ohne InApp-Käufe -",0,1.19,135
TP-Link Deco X1500 Mesh WLAN 3er Set,93.78,124.43,136
MAMMOTION YUKA mini Mähroboter ohne Begrenzungskabel inkl. Garage,849,1098,179
Silk'n VacuPedi Hornhautentferner,29,40.98,123
"[McShark] Apple iPad Pro 11"" 4. Gen, Silber, 256GB",979.99,1089,133
Anker Space Q45 Over-Ear ANC Kopfhörer mit LDAC Hi-Res Wireless Audio,75.9,89.99,193
Emsa 513357 Travel Mug Classic | 360 ml Schwarz,14.11,18.99,318
"Amazon: Tefal Red Carpet Days z.B. Tefal XA7278 OptiGrill+ XL Backschale für 51,92€",0,0,149
"Film: ""Identität"" mit John Cusack und Ray Liotta, als Stream oder zum Herunterladen aus der 3Sat Mediathek",0,2.99,317
Rückzahlung bei DAZN - VKI klagt erfolgreich gegen DAZN - 13 Klauseln unzulässig,0,0,326
50% Cashback auf ein Gliss Full Hair Magic Produkt mit Promocode bei dm,0.23,3.45,250
"PROFI COOK PC-KTS 1224 7-tlg. Kochtopfset, aus Edelstahl",33,75.77,145
"SONGMICS Höhenverstellbarer Schreibtisch elektrisch, 60 x 140 x (72-120) cm, stufenlos verstellbar",91.98,118.99,199
eufy Omni C20 - Saug-& Wischroboter mit Basisstation,398.99,452.77,159
AliExpress Gutscheine: 3€ ab 29€ / 6€ ab 49€ / 10€ ab 79€ / 20€ ab 159€ / 30€ ab 239€ / 40€ ab 349€ / 50€ ab 459€,50,0,230
"Stadt Wien fördert 50% bzw. bis zu 1500€ für Jalousien und Markisen (auch nachträglich),",0,0,430
"Stiga Akku-Heckenschere HT 300E, 54cm, mit 2 Akkus",100,180,144
Philips NA221/00 Airfryer 2000 Series,59.99,79,147
Dicota USB-C/USB-A 11-in-1 Dockingstation,45.9,81.68,132
"ESN ISOCLEAR Whey Isolate Protein Pulver, Raspberry, 908 g, Clear Whey BESTPREIS!",37.35,49.9,297
[GzG] Always Discreet Slipeinlagen,0,12.95,375
"Remington NE3870 Multi-Trimmer, 1 - 5 mm (Abholung Wien)",11.92,16.9,131
"INIU Mag-Safe Ladegerät, 15W Qi2 inklusive 20W Ladegerät & 1,5m Ladekabel",12.09,24.19,179
CUDY LT500 AC1200 Wi-Fi Mesh 4G LTE Cat4 Dual-Band Router,35.12,48.02,123
The Bridge Curse 2: The Extrication - PS5,18.47,26.32,138
Jamie Oliver by Tefal Cook' Smart Bratpfannenset | 24 & 28 cm,55.9,83.95,403
"Mcdonalds Rabattwochen ab Di., den 13. Mai",0,0,398
EUFY SoloCam S220 IP-Kamera im 2er Pack inklusive HomeBase 3,205.9,239.95,149
Theo Klein 9356 - Kassenstation mit Folientastatur,22.99,34.49,163
"[McShark] Apple iPad Pro 11"" 4. Gen, Space Gray, 128GB",879.99,1003.53,177
Cashback für AMAZON bei PAYBACK bis 18.05 [Infodeal] Kategorien für welche es Coupons für erhöhtes Cashback gibt,0,0,126
80% Cashback auf Pirulo Eis,0.82,5.49,388
"Alexa-Sprachfernbedienung Pro mit Remote Finder ""wie neu"" (Preisfehler)",3.95,21.55,164
"Hörspiel: ""Die Chroniken von Narnia: Der silberne Sessel"" nach dem Fantasyroman von C.S. Lewis, als Download",0,16.26,414
JBL Tuner XL Bluetooth Digitalradio Lautsprecher mit DAB+,94.99,130.08,204
1€ chicken rolls bei Sajado 1030,1,10,316
Yeelight Arwen Ceiling Light 550S Smart RGBWW Deckenleuchte 50W mit Apple Homekit,97.52,127.71,158
"Philips 5000-Serie Stabmixer inkl. Schneebesen, Spiralizer, XL-Zerkleinerer - 1200 W Leistung",37.93,80.99,209
Adidas Fussball-Hartplatzschuhe Copa Pure 2 Club TF in 39 - 47,28.17,39.9,177
10% auf Sale: z.B. Tommee Tippee Nahrungszubereiter-Set GoPrep oder Perfect Prep Babyflaschen-Zubereiter,41.71,60.49,133
Gorenje NRK 418 ECS4 Kühl-Gefrierkombination mit NoFrostPlus & MultiFlow 360° inklusive kostenloser Altgeräte Entsorgung,312.41,418.98,408
Gutschein B&B Blumen,5,0,174
Yves Rocher: 1. Produkt im Warenkorb gratis ab 20€ Einkauf,0,0,406
Shöpping: 18/20€ Rabatt ab 149€ Einkauf,20,0,175
Tom Tailor: 33% auf den Einkauf inkl. Sale für Club Members,0,0,185
Abus Bordo Granit X-Plus 6500/85 - das hochwertigste Faltschloss von Abus für teuere Räder,83.98,129,300
"[MediaMarkt] BOSE Solo Soundbar Series II, Schwarz",147.99,201.64,275
[MAGENTA MOMENTS] BigBus Touren -30% weltweit,0,0,249
Pampers Baby Dry Pants mit Coupon unter 20 Cent pro Stück,34.71,53.62,186
Burger King Gutscheine mit vielen 1+1 Aktionen,0,0,342
Philadelphia Aktion 1+1 marktguru,0.62,1.24,249
Nivea Serum &Tages Set - Anti Falten PowerQ10,11.95,31.9,201
"Shelly AZ Plug Weiß mit WLAN und Bluetooth, 2500 W, Strommessung, Alexa-kompatibel",19.66,25.48,147
"Verfügbarkeitsdeal Lokal Interspar Breitenfurterstrasse, Wien: Pokemon Prismatische Entwicklung Tech Sticker",16.99,0,107
Kinetic Sillage Unisex Eau de Parfum 100ml,149,189,105
"Dreame L20 Ultra Saug- und Wischroboter, 7000 Pa, Gummibürste",507.95,699.99,439
Media Markt: Gratis Lieferung für alle Bestellungen - auch Speditionsware,0,0,1547
"(Bestpreis) AnkerWork M650 Kabelloses Lavalier Mikrofon mit Professioneller Geräuschunterdrückung, 2-Kanal Abnehmer, 200m Reichweite",70.58,79.99,183
Bestway SPIELPOOL BEACH BOUNCE 53381 365/340/152cm,143.1,0,172
Günstiger Akku-Sauger mit 450W/38.000 kPa,69.98,0,162
Nike Dunk Low Retro (phantom / black / vintage coral / pale ivory | Größe 40-45,74.7,101.99,190
Mafia: Definitive Edition (Mafia: Trilogy) + Mafia: The Old Country + TopSpin 2K25 = Treueprämien | [In-Game DLC] Kostenlos erhalten,0,0,133
Free Comic Book Day 2025: 5 kostenlose digitale Comics von Marvel bei Amazon oder bei Marvel Unlimited,0,0,244
"BE COOL Premium Quick Connect Split-Klimaanlage mit Heizfunktion (A++, 105 m³, 12000 BTU/h)",549,704.87,390
Gratis: 10x Indasa Schleifpapier Testpaket sichern!,0,0,402
Magenta Moments | Bis zu 500 Herzen gratis zum Muttertag,0,0,466
"Substral Rasensamen Sport und Spiel, 5kg, für ca. 250qm",24.33,38.58,259
Schlümpfe 2: Der Gefangene des grünen Steins (PS5) - Französisches Cover,15.82,38.31,213
Ambia Garden HÄNGEMATTE 320/120/120 cm,134.1,170.89,209
"XXXLutz: 15% auf viele Pools z.B. Bestway POOL SET POWER STEEL 5614V 396/107 cm für 211,65€ statt 353,69€",0,0,180
Für Grenzgänger: Midea PortaSplit bei Bauhaus in Slowenien für 795€,795,895,658
"""Wo Long: Fallen Dynasty"" (PS5) im Store abholen (Oda: Wo long gehts hier noch Innsbruck?) / (Versand für 3,99€)",18.99,33.97,143
2x WOLF-GARTEN Li-Ion Power Finesse 30 R Akkuschere inkl. Akku,25.9,55.98,141
"Shoe4You: 15% auf Koffer und Taschen inkl. Sale z.B. PUMA Core Pop Backpack für 16,96€ statt 23€",0,0,187
"Livetastic Dale Sessel aus Eisen, Mikrofaser, Holz",22.86,37.9,156
Simone Andreoli Leisure in Paradise - 5th Anniversary Limited Edition Unisex Eau de Parfum Intense 100ml,109.8,150,123
25% Bonusmeilen beim PAYBACK Punkte-Transfer im Mai 2025 zu Miles & More !,0,0,190
Samsung S25 Ultra 256GB + Cover + Adapter + Anti-reflecting film,1069,1157,218
[Google Play Store] Inked: A Tale Of Love reduziert zu haben,0.99,4.79,176
"The Witcher 3: Wild Hunt -> 2,99€ GOG Key [Humble Bundle] [Windows PC]",2.99,10.23,344
GameSir Cyclone 2 Multiplatform Wireless Controller Bundle mit TMR Electromagnetic Joysticks&Hall Effect Switch triggers,46.32,62.55,188
"[Humble Bundle] Must-play games by Xbox Game Studios - 8x Steam Spiele z.B. Quantum Break, As Dusk Falls, Ori and the Will of the Wisps uvm.",9.35,0,295
"Zwilling 36450-280-0 Heißluft-Fritteuse 4L, 1400 W, Schwarz",49.99,75.94,136
McDonalds App Minecraft AddOn oder 3€ Cineplexx Gutschein für je 30 Ms,0,0,179
"FUJITSU Notebook Lifebook E5411, 35,6 cm (14""), Core i3, 16GB, 256 GB SSD, Win11Pro, gebraucht",225.99,0,112
Transcend JetFlash 790 weiß 128GB USB-Stick,8.32,13.27,165
Gratis Comic Tag 2025 ist der 10. Mai,0,0,517
Quiksilver: 30% Rabatt auf die Frühjahrs-/Sommerkollektion,0,0,115
Silent Gentlemen (PC) gratis auf IndieGala,0,1.59,373
"MEDIA SHOP M35278 Velform Epilwiz Epilierer, mit vergoldetem Präzisions-Epilierkopf",19.7,29.99,111
"Beko BM3WFU3841X Waschmaschine, 8 kg mit 1400 U/min",308.74,416.9,135
"Flexispot: Brand Month Angebote z.B. Bürostuhl BS12 Pro für 279,99€",279.99,399.99,116
"Strong SRT55UD7553 55"" LED 4K Smart TV",298.9,479,135
Corsair Void v2 Drahtloses Gaming-Headset,100.83,128.02,123
"ACER AL16-52P-54XA I5-1334U 16GB 512GB 16IN WUXGA W11H 16 Zoll, WUXGA, Intel Core i5-1334U Prozessor, 16 GB RAM, 512 GB SSD, Win 11 Home",404.1,449,119
KIRKJUBØUR Vindr 1 oder 2 Personen Zelte in verschiedenen Farben,27.19,38.94,141
HiBREW H2B 5-in-1-Kaffeemaschine,82.99,100.52,167
HP Poly Voyager Free 20 In-Ear-Headset und Ladeetui,95.79,124.9,137
Ambia Garden HOLLYWOODSCHAUKEL 190/176/122 cm,249,349,202
NieR: Automata - The End of YoRHa Edition (Switch),14.76,19.99,162
48x Maggi Magic Asia Noodle Cups in 6 verschiedenen Geschmacksrichtungen,24.61,60.47,183
"Ring Stick Up Cam Battery Gen. 3, 2er-Set - Überwachungskamera für den Innen- und Außenbereich,",84.94,127.98,143
WC-Frisch Kraft Aktiv Pro Nature Minze und Eukalyptus 10er Pack,14.52,18.25,168
"ULYSSES Honi Adaptive Unisex Running Sneaker in verschiedenen Farben, Größen 36 - 47",56.4,75.8,152
Penny: 5€ Gutschein ab 50€ auf alles ab 8.5.,5,0,374
Asterix & Obelix XXL: Romastered Kostenlos bis 09.05. - 15.05.25 [Steam Key] [Fanatical],0,0,470
"-10 € für alle – 15 € für Backstageclub Mitglieder (ab Warenkorbwert 59,99€) bei EMP",10,0,154
Venetien: 4* Hotel Olympia Terme mit Halbpension und Thermalbecken - 3 od. 4 Nächte für 2,418,600,171
(Leak) Spar - 25% Joker - ab 26.5. bis 2.6.2025,0,0,709
"Ninja 5-in-1 Grill & Heißluftfritteuse EG351EU, bis 1,4kg,",152.99,219.99,170
Kärcher 36 V Akku-Rasenmäher LMO 36-40 Solo (ohne Akku),150.25,241.16,179
"""Streets of Rage 4"" (Android / iOS) falls ihr unterwegs rumprügeln wollt",1.99,8.99,176
[Magenta] Entschädigung möglich durch aktive Kontaktaufnahme - Massive Störung bei Magenta vom 07.05.2025,0,0,445
"PUMA LIGA Training Pant Core Herren Trainingshose in Schwarz oder Blau, Größen S - 3XL",14.99,17.99,157
Xiaomi Redmi Note 11S 5G 4GB RAM 64GB Dual Sim Midnight Schwarz EU,52.33,159,238
"ETOE Starfish Projector mit Android TV 11.0, 300 ANSI, 4K Decoding",139,169,164
Weekend Gutscheinwelt: Ab 09.05 wieder neue Gutscheine mit mindestens 25% (evtl. ist wieder Spar dabei?!),0,0,344
"Lebensmittel-Scanner für iOS | Mahlzeiten erkennen, protokollieren und Nährwertangaben schätzen | Lifetime Premium",0,29.99,286
Dyson Cinetic Big Ball Multifloor 2 Staubsauger,251.09,299,199
"Preisjäger Junior / Hörspiel: ""Gudrun Pausewang – Die Räuberschule"" gratis als Stream oder Download",0,7.95,224
5 Freeticket nach 5€ Wette auf Eishockey WM,0,0,243
C&A: 15% auf den Einkauf für Member inkl. Sale,0,0,236
"TP-LINK Tapo L900-10 RGB Smart WiFi LED-Streifen 13,5W, 10m",25.52,36.98,167
Philips Hue White Ambiance GU10 LED Spot 5er Pack,75.62,89.99,165
"Nintendo Switch Online Mitgliedschaft - 12 Monate (Family für 26,29€)",15.21,0,299
Nivona NICR 759 CafeRomatica Kaffeevollautomat,507.95,655,128
Gratis Blumen zum Muttertag ( Innsbruck),0,0.01,356
"Bestway Lay-Z-Spa Vancouver AirJet Plus WLAN Whirlpool, Ø ca. 155cm (229€ mit Bonuscard)",249,448,236
HyperX CloudX Stinger Core Gaming-Headset,55.9,83.69,134
"TCL QD-Mini LED 55Q7C 55"" QLED 4K Smart-TV mit 144hz, Dolby Vision, Modell 2025",649.99,799,162
"Lenovo Legion R27qe, 27"" IPS Gaming Monitor mit 180hz, 0,5ms",158.87,186.54,184
Apotheken-Gutscheine für viele Markenprodukte – direkt vor Ort einlösbar!,0,0,159
LG OLED65B4ELA,875.99,1133.99,286
Samsung Galaxy s25 coral red 128GB,569,650,207
"Tipp3 - 10 € Freebet für 10 € Wette (Quote ab 1,5)",10,20,330
-20% auf Tonies Figuren ab 2 Stk bei libro,23.18,33.98,350
Personalisiertes Muttertags-Ständchen von Seiler und Speer,0,0,317
Wolf-Garten SDL 2800 EVO Elektro-Häcksler,168.9,226.99,122
"Einhell Power X-Change Starter Kit mit 2,5 Ah Akku und Ladegerät",15.12,28.5,385
1 € Döner - Neueröffnung in 1100,1,4.9,218
"Bono Heißluftfritteuse Sven 3,5L, 1.200W",25,32.5,145
Zakynthos: Koukounaria Hotel & Suites 4* mit Halbpension und Kinderermäßigung - z.B. 7 Nächte,689,939,128
PUMA Epic Flip V2 Unisex Floppen in verschiedenen Farben & vielen Größen,14.66,16.98,109
TEFAL Tischgrill TG 3918 Elektrogrill 1600W,55,68.56,128
"Prime Gaming Mai 25: LEGO Star Wars: The Complete Saga , STAR WARS Galactic Battlegrounds Saga, Wolfenstein II: The New Colossus, ...",0,0,700
Finish 3€ zurück erhalten,0,0,128
Funko POP Sale bei Smyths Toys,1,0,228
REOLINK GO PT Ultra 4G G440 4K Überwachungskamera mit Sim-Funktion & SD Card Slot,77,137,102
STRONG EPP1500 Solar/Dynamo Notfallradio m. Taschenlampe 4000mAh,19.99,29.99,193
aida Muttertag Spezial in ausgewählten Lokale,14,29,237
"""Sea of Thieves: Heart of Fire (English Edition)"" kostenloses eBook bis 8. Juni sichern",0,9.99,287
Kreta: Asterias Village Resort 4* mit Halbpension und Kinderermäßigungen - z.B. 7 Nächte Anfang Juli,1075,1383,147
"Südtirol, Italien: ab 2 ÜN / Hotel Tenne Lodges / inkl. HP / Küchenzeile / Zugang zum Wellnessbereich / ab 608€ für 2 Personen",608,854,119
Logitech G G535 Lightspeed Wireless Gaming Headset,56.47,76.46,226
SORA AI Bildgnerator von OpenAI ab sofort kostenlos,0,20,680
"""Touch Type Tale"" + ""Deadtime Defenders"" (PC) kostenlos im Epic Games Store ab 8.5. 17 Uhr",0,19.99,469
JIMMY HF9 3-in-1 Multi-Haarstyler mit verschiedenen Aufsätzen,99.99,139.99,139
"""MR RACER : Premium Racing Game"" (Android / iOS) gratis über Epic Games Store holen ab 17 Uhr",0,4.49,465
"Gardena 14602-20 Akku-Regenfasspumpe inkl. Akku, max. 2000L",79.19,118.22,119
"[GOG] SILENT HILL 2 (2024) ► [VPN mit NL Code: 19,18€ / Deluxe Edition mit NL Code: 22,18€] | Metacritic: 87 (DRM Frei) [Windows PC]",19.18,48.99,164
[Galaxus] 5 % Rabatt (10-fach Payback-Punkte) auf den Online-Einkauf über PAYBACK bis zum 11.05.2025,0,0,129
Pagro: 10% auf den Einkauf für Stammkunden,0,0,132
Interspar Weinwelt: kostenloser Versand ab 50€ (statt 100€),0,9.9,136
Bosch MyUnlimited Akku-Staubsauger konfigurieren und 100€ sparen + 10% auf Zubehör,188,288,151
"""Mystery Games"" (PC) kostenlos im Epic Games Store! Ab 15.5. 17 Uhr gibt es wieder die beliebten Vault-Games",0,0,432
Mäser Kombiservice Serie Inoda 16tlg.,20,40,148
"Info-Deal: Post beendet A1-Vertrieb, wird selbst Mobilfunker",0,0,516
"Veltie WC-Papier 3-lagig, 150 Blatt pro Rolle, 16 Rollen XXL Pack - Penny",3.99,4.7,204
Apple Watch Series 10 (GPS) 42mm Aluminium diamantschwarz mit Sportarmband S/M,329.26,379.99,237
[XXXLutz - Eisdiele] Vom 8.5. bis 15.5. - 1 Gratis Eiskugel für Alle von 13 bis 14 Uhr,0,0,453
Cursor Pro 1 Jahr gratis für Studenten,0,240,205
"Netflix Premium 4K (Ultra HD) Plan – über Afghanistan | 8,85 €",8.85,0,281
"Google Pixel 8a um 299€ oder Google Pixel 9 um 499€ (schwarz, 128GB)",299,387,1046
Penny Preise Reise Gewinnspiel,0,0,700
"KangaROOS Herren Chino-Hose aus Baumwolle W30-40, L32 oder 34",21.11,40.49,104
Venom Doppel-Ladestation mit 2 x wiederaufladbaren Akkupacks für Xbox,13.41,26.9,157
Bosch Serie 6 Küchenmaschine MUMS6ZS34 mit Waage 1600 W Schwarz + 2. Edelstahlschüssel,649,756.74,133
"Dell Alienware AW3423DWF OLED 34 Zoll WQHD (3440x1440) 21:9 1800R Curved Gaming Monitor, 165Hz",555,612,422
PIRULO 1+1 AKTION - Marktguru + Billa Plus !,1.5,5.49,158
Foodora Pro (Quartalsweise um 1 EUR pro Monat),1,5.99,225
"Nici 46622 Glubschis Kiwi Soda, ca. 15cm",4.12,6.23,127
BRITAX RÖMER - SMART Kindersitz EVOLVAFIX i-SIZE night blue,162.34,216.19,153
Keter Novel Aufbewahrungsbox | 340 l,58.9,79.95,203
Sportspar: Puma WOW Deals,0,0,470
Razer Seiren Mini Quartz USB Kondensator-Mikrofon,20.16,26.34,160
"Lieblingsfoto.de: 80% Rabatt auf alle Leinwände - z.B. 60x40 cm um 16,98€ inkl. Versand",0,0,651
[Eis-Greissler in Krumbach] kostenloser Eintritt für Raiffeisen-Kontoinhaber mit Debitkarte (Bankomatkarte) oder Sumsikarte,0,0,220
"Fischer & Honsel LED Tischleuchte Nil, 37,5 cm x 17 cm",27.94,47.53,143
Bipa 25% Sticker (1597 - 3819 - 2617) & 27% App-Sticker (109),0,0,245
Lieblingsfoto: 70% auf alle Fotos auf Aluminium (weiß oder gebürstet),0,0,364
"Kostenlose Lieferung aus Deutschland nach Österreich mit AllesPost Deutschland – statt 7,49 € jetzt gratis!",0,7.49,2467
