,JAHR,MONAT,ZNR,ZNAME,STRTYP,STRNR,RINAME,FZTYP,DTVMS,DTVMF,DTVMO,DTVDD,DTVFR,DTVSA,DTVSF,TVMAX,TVMAXT,DATUM
0,2024,12,1075,Reichsbrücke,B,8,Leopoldstadt,Kfz,17629,20578,18756,21370,20676,14684,10886,26516,"Do,05.12.",2024-12-01
1,2024,12,1075,Reichsbrücke,B,8,Leopoldstadt,LkwÄ,552,732,702,768,672,290,186,1076,"Do,05.12.",2024-12-01
2,2024,12,1075,Reichsbrücke,B,8,Donaustadt,Kfz,13422,14907,14163,15230,14950,12429,9747,18146,"*Do,19.12.",2024-12-01
3,2024,12,1075,Reichsbrücke,B,8,Donaustadt,LkwÄ,517,682,641,725,614,304,167,956,"*Mi,18.12.",2024-12-01
4,2024,12,1075,Reichsbrücke,B,8,Gesamt,Kfz,31051,35485,32919,36601,35626,27112,20633,43147,"Do,05.12.",2024-12-01
5,2024,12,1075,Reichsbrücke,B,8,Gesamt,LkwÄ,1069,1414,1343,1493,1287,594,352,1910,"Do,05.12.",2024-12-01
6,2024,12,1078,Westbahnhof,B,221,Wienzeile,Kfz,35980,37028,35325,37125,38889,38104,31775,42418,"Fr,13.12.",2024-12-01
7,2024,12,1078,Westbahnhof,B,221,Wienzeile,LkwÄ,670,873,848,898,834,394,249,1078,"Do,12.12.",2024-12-01
8,2024,12,1078,Westbahnhof,B,221,Stadthalle,Kfz,30570,31326,30159,31218,33084,32057,27561,35074,"Fr,13.12.",2024-12-01
9,2024,12,1078,Westbahnhof,B,221,Stadthalle,LkwÄ,637,805,783,824,779,418,282,976,"Di,10.12.",2024-12-01
10,2024,12,1078,Westbahnhof,B,221,Gesamt,Kfz,66551,68354,65484,68342,71972,70161,59336,77492,"Fr,13.12.",2024-12-01
11,2024,12,1078,Westbahnhof,B,221,Gesamt,LkwÄ,1307,1677,1631,1722,1613,812,530,2024,"Do,05.12.",2024-12-01
12,2024,12,1089,Floridsdorf-Br.,B,226,Brigittenau,Kfz,11905,13283,12387,13749,13124,11291,8319,15600,"Mi,18.12.",2024-12-01
13,2024,12,1089,Floridsdorf-Br.,B,226,Brigittenau,LkwÄ,225,303,291,324,258,119,64,399,"Di,03.12.",2024-12-01
14,2024,12,1089,Floridsdorf-Br.,B,226,Floridsdorf,Kfz,12056,13371,12616,13684,13454,11442,8652,15120,"Do,05.12.",2024-12-01
15,2024,12,1089,Floridsdorf-Br.,B,226,Floridsdorf,LkwÄ,239,318,308,331,296,130,73,411,"Mi,11.12.",2024-12-01
16,2024,12,1089,Floridsdorf-Br.,B,226,Gesamt,Kfz,23962,26654,25003,27432,26577,22733,16971,30535,"Mi,18.12.",2024-12-01
17,2024,12,1089,Floridsdorf-Br.,B,226,Gesamt,LkwÄ,464,621,598,655,554,250,137,807,"Mi,11.12.",2024-12-01
18,2024,12,1096,Brigittenauer Brücke,B,14,Brigittenau,Kfz,11955,13677,12861,14206,13244,10492,7870,16899,"Mi,18.12.",2024-12-01
19,2024,12,1096,Brigittenauer Brücke,B,14,Brigittenau,LkwÄ,258,361,342,393,298,102,51,498,"Di,10.12.",2024-12-01
20,2024,12,1096,Brigittenauer Brücke,B,14,Floridsdorf,Kfz,10226,11356,10951,11567,11283,9537,7392,13724,"Do,19.12.",2024-12-01
21,2024,12,1096,Brigittenauer Brücke,B,14,Floridsdorf,LkwÄ,247,324,327,332,296,143,88,434,"Do,05.12.",2024-12-01
22,2024,12,1096,Brigittenauer Brücke,B,14,Gesamt,Kfz,22181,25033,23812,25772,24527,20029,15262,30147,"Mi,18.12.",2024-12-01
23,2024,12,1096,Brigittenauer Brücke,B,14,Gesamt,LkwÄ,505,685,670,725,594,245,139,928,"Mo,09.12.",2024-12-01
24,2024,12,1131,Karlsplatz,B,1,Heumarkt,Kfz,19558,21099,19790,21429,21828,19164,15381,24082,"Fr,13.12.",2024-12-01
25,2024,12,1131,Karlsplatz,B,1,Heumarkt,LkwÄ,511,607,592,611,616,450,269,737,"Fr,13.12.",2024-12-01
26,2024,12,1131,Karlsplatz,B,1,Wienzeile,Kfz,13284,14939,14140,15274,15019,12577,8957,17412,"Di,17.12.",2024-12-01
27,2024,12,1131,Karlsplatz,B,1,Wienzeile,LkwÄ,448,525,534,528,508,478,210,666,"Do,12.12.",2024-12-01
28,2024,12,1131,Karlsplatz,B,1,Gesamt,Kfz,32842,36038,33930,36702,36846,31741,24338,41129,"Fr,13.12.",2024-12-01
29,2024,12,1131,Karlsplatz,B,1,Gesamt,LkwÄ,959,1133,1126,1139,1124,929,479,1389,"Fr,13.12.",2024-12-01
30,2024,12,1170,Donaukanal Straße,B,227,1171-Obere Donaustr.,Kfz,23471,24564,23861,24414,25854,24454,19785,27765,"Fr,13.12.",2024-12-01
31,2024,12,1170,Donaukanal Straße,B,227,1171-Obere Donaustr.,LkwÄ,773,921,918,935,885,649,420,1141,"Do,12.12.",2024-12-01
32,2024,12,1170,Donaukanal Straße,B,227,1172-Franz-Josef-Kai,Kfz,35711,38276,36608,38352,40151,35285,28624,44031,"Fr,20.12.",2024-12-01
33,2024,12,1170,Donaukanal Straße,B,227,1172-Franz-Josef-Kai,LkwÄ,1442,1815,1742,1863,1774,1049,602,2185,"Do,12.12.",2024-12-01
34,2024,12,1170,Donaukanal Straße,B,227,Gesamt,Kfz,59181,62840,60469,62766,66005,59739,48409,71446,"Fr,13.12.",2024-12-01
35,2024,12,1170,Donaukanal Straße,B,227,Gesamt,LkwÄ,2215,2736,2659,2798,2658,1698,1021,3326,"Do,12.12.",2024-12-01
36,2024,12,1177,Handelskai,B,14,Klosterneuburg,Kfz,9712,10783,10489,11020,10499,9123,6990,13125,"Mi,18.12.",2024-12-01
37,2024,12,1177,Handelskai,B,14,Klosterneuburg,LkwÄ,387,521,506,562,428,212,101,704,"Mi,18.12.",2024-12-01
